timestamp_ns,loop_dt_ns,callback_period_ns,target_age_ns,teleop_state,control_mode,teleop_active,target_fresh,apply_motion,fault_packet_timeout,fault_jump_rejected,fault_workspace_clamped,fault_robot_not_ready,fault_ik_rejected,max_step,rt_alpha,q_0,q_1,q_2,q_3,q_4,q_5,q_6,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,q_d_0,q_d_1,q_d_2,q_d_3,q_d_4,q_d_5,q_d_6,q_planned_0,q_planned_1,q_planned_2,q_planned_3,q_planned_4,q_planned_5,q_planned_6,q_cmd_0,q_cmd_1,q_cmd_2,q_cmd_3,q_cmd_4,q_cmd_5,q_cmd_6,target_delta_0,target_delta_1,target_delta_2,target_delta_3,target_delta_4,target_delta_5,target_delta_6,filtered_delta_0,filtered_delta_1,filtered_delta_2,filtered_delta_3,filtered_delta_4,filtered_delta_5,filtered_delta_6,command_delta_0,command_delta_1,command_delta_2,command_delta_3,command_delta_4,command_delta_5,command_delta_6,clamp_saturated_0,clamp_saturated_1,clamp_saturated_2,clamp_saturated_3,clamp_saturated_4,clamp_saturated_5,clamp_saturated_6,max_abs_target_delta,max_abs_filtered_delta,max_abs_command_delta
5198873115787,1008839,1000000,2562463,0,0,0,0,0,1,0,0,0,0,0.000260000,0.180000000,-0.000687577,-0.784703078,-0.000371968,-2.356775810,-0.000711763,1.570916538,0.785734775,0.000215389,0.000918082,0.000047024,0.000272152,-0.000645215,0.000141667,0.000891469,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,-0.000688248,-0.784706697,-0.000370297,-2.356777480,-0.000709728,1.570917251,0.785729603,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000
5198883110046,1000179,1000000,12556722,0,0,0,0,0,1,0,0,0,0,0.000260000,0.180000000,-0.000685197,-0.784708368,-0.000370297,-2.356779429,-0.000709016,1.570912608,0.785725608,0.000710394,-0.000494082,0.000709228,-0.001315437,0.000580969,-0.000014064,-0.001251566,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,-0.000688248,-0.784706697,-0.000370297,-2.356777480,-0.000709728,1.570917251,0.785729603,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000
5198893127366,970249,1000000,5849982,0,0,0,0,0,1,0,0,0,0,0.000260000,0.180000000,-0.000688274,-0.784706262,-0.000375587,-2.356775810,-0.000711763,1.570915826,0.785732815,0.000519003,-0.000530528,-0.001493113,-0.000103539,-0.000281261,-0.000087660,0.000802608,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,-0.000689907,-0.784706697,-0.000371968,-2.356775810,-0.000709728,1.570917211,0.785728760,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000
5198903143246,1015329,1000000,15865862,0,0,0,0,0,1,0,0,0,0,0.000260000,0.180000000,-0.000689945,-0.784703000,-0.000370297,-2.356781100,-0.000713085,1.570915114,0.785726910,-0.000173577,0.000696539,0.000541678,-0.001218519,-0.001022165,-0.000335111,-0.000531628,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,-0.000689907,-0.784706697,-0.000371968,-2.356775810,-0.000709728,1.570917211,0.785728760,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000
5198913098425,1002320,1000000,9097641,0,0,0,0,0,1,0,0,0,0,0.000260000,0.180000000,-0.000688274,-0.784706697,-0.000368270,-2.356777480,-0.000711051,1.570915826,0.785733359,0.000416544,-0.000577430,0.000753747,0.000476934,-0.000139778,0.000023544,0.000704713,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,-0.000689945,-0.784703000,-0.000370297,-2.356781100,-0.000713085,1.570915114,0.785726910,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000
5198923106434,985489,1000000,2383761,0,0,0,0,0,1,0,0,0,0,0.000260000,0.180000000,-0.000689944,-0.784704325,-0.000370297,-2.356777480,-0.000710440,1.570914753,0.785726315,-0.000290518,0.000289227,0.000468656,-0.000470492,-0.000035008,-0.000243197,-0.000824662,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,-0.000688248,-0.784706697,-0.000373638,-2.356777480,-0.000712475,1.570916172,0.785732223,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000
5198933133324,1033959,1000000,12410651,0,0,0,0,0,1,0,0,0,0,0.000260000,0.180000000,-0.000689945,-0.784705027,-0.000371968,-2.356774139,-0.000710440,1.570917237,0.785731659,-0.000525598,0.000311640,-0.000159004,0.001505532,0.000147570,0.000336660,0.001200383,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,-0.000688248,-0.784706697,-0.000373638,-2.356777480,-0.000712475,1.570916172,0.785732223,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000
5198943118753,1019859,1000000,5670760,0,0,0,0,0,1,0,0,0,0,0.000260000,0.180000000,-0.000689945,-0.784703078,-0.000373638,-2.356779429,-0.000709728,1.570911935,0.785732994,-0.000252216,0.000701002,-0.000431222,-0.000751749,0.000575271,-0.000268904,-0.000116397,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,-0.000689945,-0.784706697,-0.000371968,-2.356777480,-0.000711051,1.570915826,0.785733015,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000
5198953140393,1026669,1000000,15692400,0,0,0,0,0,1,0,0,0,0,0.000260000,0.180000000,-0.000686247,-0.784705027,-0.000371968,-2.356777480,-0.000711051,1.570916421,0.785734230,0.000996165,-0.000148336,0.000124405,-0.000147739,-0.000093170,0.000004080,0.000543929,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,-0.000689945,-0.784706697,-0.000371968,-2.356777480,-0.000711051,1.570915826,0.785733015,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000
5198963129093,1019029,1000000,8959400,0,0,0,0,0,1,0,0,0,0,0.000260000,0.180000000,-0.000688274,-0.784705027,-0.000375587,-2.356777480,-0.000710440,1.570915114,0.785730571,0.000775835,0.000335820,-0.001439916,-0.000310997,0.000239314,-0.000306459,0.000974051,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,-0.000689918,-0.784706697,-0.000373638,-2.356775810,-0.000711051,1.570916499,0.785725391,-0.000000001,-0.785398159,-0.000000001,-2.356194490,-0.000000000,1.570796331,0.785398160,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0.000000000,0.000000000,0.000000000
